season,episode,title,number_in_series,original_air_date
8,2,You Only Move Twice,155,1996-11-03T00:00:00+02:00
8,3,The Homer They Fall,156,1996-11-10T00:00:00+02:00
8,4,"Burns, Baby Burns",157,1996-11-17T00:00:00+02:00
8,5,Bart After Dark,158,1996-11-24T00:00:00+02:00
8,6,A Milhouse Divided,159,1996-12-01T00:00:00+02:00
8,7,Lisa's Date with Density,160,1996-12-15T00:00:00+02:00
8,8,Hurricane Neddy,161,1996-12-29T00:00:00+02:00
8,9,El Viaje Misterioso de Nuestro Jomer (The Mysterious Voyage of Homer),162,1997-01-05T00:00:00+02:00
8,10,The Springfield Files,163,1997-01-12T00:00:00+02:00
8,11,The Twisted World of Marge Simpson,164,1997-01-19T00:00:00+02:00
8,12,Mountain of Madness,165,1997-02-02T00:00:00+02:00
8,13,Simpsoncalifragilisticexpiala(Annoyed Grunt)cious,166,1997-02-07T00:00:00+02:00
8,14,The Itchy & Scratchy & Poochie Show,167,1997-02-09T00:00:00+02:00
8,15,Homer's Phobia,168,1997-02-16T00:00:00+02:00
8,16,Brother from Another Series,169,1997-02-23T00:00:00+02:00
8,17,"My Sister, My Sitter",170,1997-03-02T00:00:00+02:00
8,18,Homer vs. the Eighteenth Amendment,171,1997-03-16T00:00:00+02:00
8,19,Grade School Confidential,172,1997-04-06T00:00:00+02:00
8,20,The Canine Mutiny,173,1997-04-13T00:00:00+02:00
8,21,The Old Man and the Lisa,174,1997-04-20T00:00:00+02:00
8,22,In Marge We Trust,175,1997-04-27T00:00:00+02:00
8,23,Homer's Enemy,176,1997-05-04T00:00:00+02:00
8,24,The Simpsons Spin-Off Showcase,177,1997-05-11T00:00:00+02:00
8,25,The Secret War of Lisa Simpson,178,1997-05-18T00:00:00+02:00
9,1,The City of New York vs. Homer Simpson,179,1997-09-21T00:00:00+02:00
9,2,The Principal and the Pauper,180,1997-09-28T00:00:00+02:00
9,3,Lisa's Sax,181,1997-10-19T00:00:00+02:00
9,4,Treehouse of Horror VIII,182,1997-10-26T00:00:00+02:00
9,5,The Cartridge Family,183,1997-11-02T00:00:00+02:00
9,6,Bart Star,184,1997-11-09T00:00:00+02:00
9,7,The Two Mrs. Nahasapeemapetilons,185,1997-11-16T00:00:00+02:00
9,8,Lisa the Skeptic,186,1997-11-23T00:00:00+02:00
9,9,Realty Bites,187,1997-12-07T00:00:00+02:00
9,10,Miracle on Evergreen Terrace,188,1997-12-21T00:00:00+02:00
9,11,"All Singing, All Dancing",189,1998-01-04T00:00:00+02:00
9,12,Bart Carny,190,1998-01-11T00:00:00+02:00
9,13,The Joy of Sect,191,1998-02-08T00:00:00+02:00
9,14,Das Bus,192,1998-02-15T00:00:00+02:00
9,15,The Last Temptation of Krust,193,1998-02-22T00:00:00+02:00
9,16,Dumbbell Indemnity,194,1998-03-01T00:00:00+02:00
9,17,Lisa the Simpson,195,1998-03-08T00:00:00+02:00
9,18,This Little Wiggy,196,1998-03-22T00:00:00+02:00
9,19,Simpson Tide,197,1998-03-29T00:00:00+02:00
9,20,The Trouble with Trillions,198,1998-04-05T00:00:00+02:00
9,21,Girly Edition,199,1998-04-19T00:00:00+02:00
9,22,Trash of the Titans,200,1998-04-26T00:00:00+02:00
9,23,King of the Hill,201,1998-05-03T00:00:00+02:00
9,24,Lost Our Lisa,202,1998-05-10T00:00:00+02:00
9,25,Natural Born Kissers,203,1998-05-17T00:00:00+02:00
